Vital Measurement,Node 1,Node 2,Node 3,Node 4,Node 5,Diagnostic Triage,Actions
Glasgow Coma Scale,Normal,Stable,Standard,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Motor Function,High,Stable,Emergency,Maintenance,Routine care,Immediate,Red flag - Immediate intervention required
Capillary Refill,High,Progressive,Emergency,Maintenance,Maintenance,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Critical,Chronic,Normal,Regular,Call 911,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Normal,Unstable,Standard,Standard,Follow up,Routine,Standard care - Follow routine protocol
Blood Pressure,High,Normal,Resuscitation,Maintenance,Prevention,Immediate,Red flag - Immediate intervention required
Mental Status,Moderate,Stable,Standard,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Pain Level,Low,Acute,Watch,Check,Check again,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Critical,Stable,Baseline,Maintenance,Code Blue,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Chronic,Maintenance,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,High,Progressive,Emergency,Standard,Standard protocol,Immediate,Red flag - Immediate intervention required
AVPU Score,Low,Chronic,Observe,Routine,Check again,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,High,Chronic,Resuscitation,Maintenance,Prevention,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Moderate,Chronic,Normal,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Low,Chronic,Follow-up,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Critical,Progressive,Standard,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Capillary Refill,Low,Stable,Follow-up,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Heart Rate,High,Weak,Immediate,Rescue,Prevention,Immediate,Red flag - Immediate intervention required
Capillary Refill,Normal,Stable,Baseline,Maintenance,Routine care,Routine,Standard care - Follow routine protocol
Motor Function,Moderate,Acute,Maintenance,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Skin Color,High,Stable,Critical,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Heart Rate,High,Normal,Immediate,Stabilize,Routine care,Immediate,Red flag - Immediate intervention required
Motor Function,Normal,Chronic,Standard,Standard,Prevention,Routine,Standard care - Follow routine protocol
Motor Function,Low,Chronic,Follow-up,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Motor Function,Normal,Chronic,Standard,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Capillary Refill,Moderate,Stable,Normal,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
AVPU Score,Low,Acute,Follow-up,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Mental Status,Critical,Acute,Standard,Routine,Call 911,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Low,Stable,Monitor,Assess,Routine care,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Normal,Standard,Standard,Follow up,Routine,Standard care - Follow routine protocol
Temperature,Moderate,Fever,Standard,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Skin Color,Moderate,Chronic,Normal,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Skin Color,Moderate,Chronic,Baseline,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Motor Function,High,Unstable,Immediate,Emergency,Maintenance,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Normal,Stable,Normal,Maintenance,Routine care,Routine,Standard care - Follow routine protocol
Pupil Response,Normal,Stable,Maintenance,Standard,Follow up,Routine,Standard care - Follow routine protocol
Pupil Response,Normal,Stable,Normal,Normal,Maintenance,Routine,Standard care - Follow routine protocol
Respiratory Rate,Normal,Unstable,Baseline,Regular,Routine care,Routine,Standard care - Follow routine protocol
Blood Glucose,High,Progressive,Urgent,Stabilize,Emergency Response,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Acute,Normal,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Acute,Maintenance,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Pupil Response,Moderate,Chronic,Regular,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Skin Color,High,Chronic,Urgent,Rescue,Code Blue,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Stable,Maintenance,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Motor Function,Normal,Stable,Baseline,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Respiratory Rate,High,Chronic,Resuscitation,Standard,Maintenance,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Progressive,Standard,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Mental Status,Critical,Acute,Standard,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Glucose,Low,Unstable,Monitor,Evaluate,Standard protocol,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Critical,Stable,Regular,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Glucose,Critical,Unstable,Normal,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Glucose,Low,Acute,Observe,Routine,Follow protocol,Monitor,Continue monitoring - Watch for changes
AVPU Score,High,Stable,Emergency,Standard,Routine care,Immediate,Red flag - Immediate intervention required
Sensory Function,Normal,Stable,Standard,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Motor Function,Critical,Stable,Normal,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Pupil Response,Critical,Chronic,Standard,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Progressive,Standard,Routine,Prevention,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Moderate,Progressive,Normal,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Moderate,Unstable,Standard,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Pre-hypertension,Maintenance,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Motor Function,Normal,Stable,Baseline,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Pain Level,High,Unstable,Critical,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Critical,Progressive,Regular,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Pain Level,High,Acute,Critical,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Pupil Response,Critical,Unstable,Normal,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Pre-hypertension,Urgent,Rescue,Call 911,Immediate,Red flag - Immediate intervention required
Blood Glucose,Moderate,Stable,Standard,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Skin Color,Critical,Acute,Regular,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Moderate,Unstable,Baseline,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Skin Color,Critical,Stable,Baseline,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Mental Status,Critical,Acute,Maintenance,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
AVPU Score,High,Stable,Resuscitation,Standard,Follow up,Immediate,Red flag - Immediate intervention required
Heart Rate,Low,Weak,Follow-up,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
AVPU Score,Critical,Unstable,Standard,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Capillary Refill,Normal,Chronic,Standard,Maintenance,Routine care,Routine,Standard care - Follow routine protocol
Motor Function,High,Acute,Emergency,Maintenance,Follow up,Immediate,Red flag - Immediate intervention required
Skin Color,Low,Acute,Monitor,Assess,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pupil Response,Critical,Unstable,Normal,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Pupil Response,Normal,Acute,Maintenance,Routine,Routine care,Routine,Standard care - Follow routine protocol
Mental Status,Normal,Progressive,Baseline,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Respiratory Rate,Moderate,Stable,Baseline,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Unstable,Regular,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Pre-hypertension,Regular,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Unstable,Standard,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Normal,Unstable,Regular,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Mental Status,Normal,Acute,Baseline,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Respiratory Rate,Low,Chronic,Monitor,Assess,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Glucose,High,Unstable,Urgent,Rescue,Code Blue,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Normal,Unstable,Standard,Standard,Follow up,Routine,Standard care - Follow routine protocol
Temperature,Moderate,Normal,Standard,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Moderate,Acute,Normal,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Mental Status,Moderate,Progressive,Normal,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Critical,Acute,Maintenance,Standard,Call 911,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Progressive,Immediate,Stabilize,Routine care,Immediate,Red flag - Immediate intervention required
Temperature,Normal,Normal,Standard,Standard,Follow up,Routine,Standard care - Follow routine protocol
Heart Rate,Critical,Weak,Regular,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Mental Status,Moderate,Stable,Standard,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,High,Progressive,Resuscitation,Normal,Prevention,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,High,Chronic,Immediate,Critical,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Glucose,Low,Stable,Routine,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,High,Progressive,Resuscitation,Maintenance,Follow up,Immediate,Red flag - Immediate intervention required
Pupil Response,High,Stable,Resuscitation,Normal,Maintenance,Immediate,Red flag - Immediate intervention required
Heart Rate,High,Bradycardia,Critical,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Pupil Response,Low,Progressive,Follow-up,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Sensory Function,Low,Acute,Routine,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Motor Function,High,Unstable,Immediate,Rescue,Prevention,Immediate,Red flag - Immediate intervention required
Mental Status,Critical,Progressive,Maintenance,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
Pupil Response,Low,Acute,Routine,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Low,Acute,Routine,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
AVPU Score,Critical,Unstable,Regular,Routine,Code Blue,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Normal,Chronic,Baseline,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Motor Function,Moderate,Acute,Baseline,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Progressive,Regular,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Heart Rate,Critical,Tachycardia,Baseline,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Acute,Regular,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,High,Chronic,Immediate,Urgent,Call 911,Immediate,Red flag - Immediate intervention required
Skin Color,Critical,Chronic,Regular,Normal,Code Blue,Immediate,Red flag - Immediate intervention required
Pupil Response,Normal,Stable,Standard,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
AVPU Score,Moderate,Stable,Normal,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Critical,Chronic,Standard,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Acute,Critical,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Mental Status,Low,Progressive,Routine,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Pupil Response,Low,Acute,Routine,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Motor Function,Critical,Unstable,Maintenance,Regular,Call 911,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,High,Acute,Urgent,Stabilize,Emergency Response,Immediate,Red flag - Immediate intervention required
AVPU Score,Critical,Chronic,Maintenance,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Pupil Response,High,Progressive,Resuscitation,Routine,Maintenance,Immediate,Red flag - Immediate intervention required
Blood Pressure,Low,Crisis,Routine,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Low,Stable,Watch,Check,Reassess,Monitor,Continue monitoring - Watch for changes
Pain Level,Low,Progressive,Watch,Watch,Check again,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Low,Unstable,Observe,Normal,Monitor closely,Monitor,Continue monitoring - Watch for changes
